claim_approval_rate,claim_frequency,flag_rate,no_rejections,policy_tenure_norm,docs_complete,image_integrity,amount_reasonableness,proc_diag_consistency,network_hospital,timing_score,label
0.6286304315679497,0.6586673014851029,0.00871236379115318,0.8225652699986346,0.7263372838073572,1.0,0.7773219944724029,0.6,0.5,0.5,1.0,2
0.4193510220111264,0.2298842388244396,0.07795566837889584,0.7255720405450822,0.38637209550321544,1.0,0.8911229046500919,0.85,0.5,0.5,1.0,2
0.4866388385079488,0.5042152657520047,0.008089136822946989,0.9772325258592661,0.47407064621057987,1.0,1.0,1.0,1.0,1.0,1.0,3
0.527008172249743,0.27269784114420415,0.021033700254767692,0.7292801745266911,0.3540041880804461,1.0,0.7972001901254531,1.0,1.0,1.0,1.0,2
0.46451880008573004,0.4726745222847518,0.2003599262709469,0.9731325631511847,0.32966592874248135,1.0,0.8375249594503769,0.4,1.0,1.0,1.0,2
0.3949991674519791,0.5000330731852949,0.04862384309315581,0.6204470173241402,0.374023798883532,1.0,0.8107427972981205,0.85,1.0,0.5,0.3,2
0.7618880647512735,0.23690976695404936,0.020602737641649223,0.9943483302253956,0.5891647431022277,1.0,0.8148980082005086,1.0,1.0,0.5,1.0,3
0.8536893211796802,0.43730484451701895,0.08345203320478246,0.591629001690432,0.3708559367973058,0.3,0.742069596176803,1.0,1.0,1.0,0.7,2
0.6321637324307474,0.2352176160768004,0.0627950323061246,0.6096108118763841,0.16263609539320675,0.3,0.668411189537717,0.85,0.5,0.5,1.0,2
0.5299953549103124,0.4830191846156471,0.07343320863346067,0.899240840073378,0.9464988457830413,1.0,0.8879672545748784,1.0,1.0,1.0,1.0,3
0.6839826684678306,0.3364951239695808,0.03002334865244743,0.8801710703996445,0.6532459540593033,1.0,0.9190157056523455,1.0,1.0,0.5,1.0,3
0.5801030605672441,0.3448699857420728,0.5385115246598966,0.6039466781692224,0.23061680378196206,0.3,0.749291344430561,0.4,0.3,1.0,0.7,1
0.5902611931046202,0.6065167906526947,0.369352175080315,0.9262923419959708,0.4118353408343722,1.0,1.0,0.85,0.5,1.0,1.0,2
0.6041788399084377,0.5228999418707628,0.34304084694963366,0.9365919989902945,0.4767277493338345,1.0,0.6985253371130026,0.6,1.0,0.5,1.0,2
0.6081995755995216,0.1664215969060512,0.07194627318931175,0.9644689381141363,0.9101224370909312,1.0,0.8923828713341665,0.6,0.5,1.0,1.0,3
0.9481975354860792,0.794521027222905,0.36349998698316616,0.8299033283645544,0.7938895560360071,1.0,0.7738968292813923,0.6,0.5,1.0,1.0,2
0.5836535253756078,0.5440948306393455,0.0005406982470000783,0.9981008066462584,0.7735525241306804,1.0,0.889696420505294,0.85,1.0,1.0,1.0,3
